timing_now,model_type,epoch,learning_rate,hidden_size,batch_size,pooling_style,dropout,time_spent,accuracy
2025-07-15 02:17:08,cnn,15,0.0001,128,64,avg,0.3,60.1266,0.859466221851543
2025-07-15 02:18:09,cnn,15,0.0001,128,64,avg,0.5,60.9037,0.8477898248540451
2025-07-15 02:19:10,cnn,15,0.0001,128,64,max,0.3,60.4637,0.8807339449541285
2025-07-15 02:20:10,cnn,15,0.0001,128,64,max,0.5,60.3176,0.8644703919933278
2025-07-15 02:21:04,cnn,15,0.0001,128,128,avg,0.3,53.9980,0.8590492076730609
2025-07-15 02:21:58,cnn,15,0.0001,128,128,avg,0.5,53.6396,0.8432026688907422
2025-07-15 02:22:52,cnn,15,0.0001,128,128,max,0.3,54.2101,0.878231859883236
2025-07-15 02:23:46,cnn,15,0.0001,128,128,max,0.5,54.1941,0.8619683069224353
2025-07-15 02:24:20,cnn,15,0.0001,64,64,avg,0.3,33.9709,0.8469557964970809
2025-07-15 02:24:54,cnn,15,0.0001,64,64,avg,0.5,33.5782,0.841117597998332
2025-07-15 02:25:27,cnn,15,0.0001,64,64,max,0.3,33.7823,0.859883236030025
2025-07-15 02:26:02,cnn,15,0.0001,64,64,max,0.5,34.1368,0.8473728106755629
2025-07-15 02:26:29,cnn,15,0.0001,64,128,avg,0.3,27.4216,0.8256880733944955
2025-07-15 02:26:56,cnn,15,0.0001,64,128,avg,0.5,27.3280,0.822768974145121
2025-07-15 02:27:24,cnn,15,0.0001,64,128,max,0.3,27.5965,0.8427856547122602
2025-07-15 02:27:52,cnn,15,0.0001,64,128,max,0.5,27.6273,0.8340283569641368
2025-07-15 02:29:35,gated_cnn,15,0.001,128,64,avg,0.3,103.8481,0.8865721434528774
2025-07-15 02:31:21,gated_cnn,15,0.001,128,64,avg,0.5,105.4568,0.8924103419516264
2025-07-15 02:33:07,gated_cnn,15,0.001,128,64,max,0.3,105.5932,0.8853211009174312
2025-07-15 02:34:58,gated_cnn,15,0.001,128,64,max,0.5,111.1520,0.8969974979149291
2025-07-15 02:36:33,gated_cnn,15,0.001,128,128,avg,0.3,95.7468,0.8836530442035029
2025-07-15 02:38:08,gated_cnn,15,0.001,128,128,avg,0.5,94.4229,0.8861551292743953
2025-07-15 02:39:42,gated_cnn,15,0.001,128,128,max,0.3,94.3413,0.8807339449541285
2025-07-15 02:41:17,gated_cnn,15,0.001,128,128,max,0.5,94.4914,0.8899082568807339
2025-07-15 02:42:12,gated_cnn,15,0.001,64,64,avg,0.3,55.5939,0.8840700583819849
2025-07-15 02:43:08,gated_cnn,15,0.001,64,64,avg,0.5,55.8096,0.8832360300250208
2025-07-15 02:44:04,gated_cnn,15,0.001,64,64,max,0.3,55.8802,0.8824020016680567
2025-07-15 02:45:00,gated_cnn,15,0.001,64,64,max,0.5,55.8048,0.8874061718098415
2025-07-15 02:45:47,gated_cnn,15,0.001,64,128,avg,0.3,46.9234,0.890325271059216
2025-07-15 02:46:32,gated_cnn,15,0.001,64,128,avg,0.5,45.7182,0.878231859883236
2025-07-15 02:47:19,gated_cnn,15,0.001,64,128,max,0.3,46.0159,0.8874061718098415
2025-07-15 02:48:04,gated_cnn,15,0.001,64,128,max,0.5,45.8364,0.8769808173477899
2025-07-15 02:49:48,gated_cnn,15,0.0001,128,64,avg,0.3,103.1824,0.8744787322768974
2025-07-15 02:51:31,gated_cnn,15,0.0001,128,64,avg,0.5,103.3104,0.8586321934945789
2025-07-15 02:53:14,gated_cnn,15,0.0001,128,64,max,0.3,103.6058,0.8828190158465388
2025-07-15 02:54:58,gated_cnn,15,0.0001,128,64,max,0.5,103.7271,0.8678065054211843
2025-07-15 02:56:32,gated_cnn,15,0.0001,128,128,avg,0.3,93.7184,0.8611342785654712
2025-07-15 02:58:06,gated_cnn,15,0.0001,128,128,avg,0.5,93.5686,0.8603002502085071
2025-07-15 02:59:40,gated_cnn,15,0.0001,128,128,max,0.3,94.1192,0.8828190158465388
2025-07-15 03:01:14,gated_cnn,15,0.0001,128,128,max,0.5,94.2219,0.8628023352793995
2025-07-15 03:02:10,gated_cnn,15,0.0001,64,64,avg,0.3,56.1177,0.8507089241034195
2025-07-15 03:03:06,gated_cnn,15,0.0001,64,64,avg,0.5,56.0618,0.8440366972477065
